GGA: %s125806.00,5700.87245,N,00959.13391,E,1,08,1.21,90.5,M,42.4,M,,*62
GGA: %s125900.00,5700.85994,N,00959.13330,E,1,08,1.02,69.7,M,42.4,M,,*6E
GGA: %s125901.00,5700.85960,N,00959.13344,E,1,08,1.02,68.9,M,42.4,M,,*68
GGA: %s125902.00,5700.85941,N,00959.13389,E,1,08,1.02,67.8,M,42.4,M,,*67
GGA: %s125903.00,5700.85922,N,00959.13431,E,1,08,1.02,66.9,M,42.4,M,,*67
GGA: %s125940.00,5700.85936,N,00959.13754,E,1,08,1.09,54.4,M,42.4,M,,*62
GGA: %s125941.00,5700.85938,N,00959.13745,E,1,08,1.09,53.9,M,42.4,M,,*67
GGA: %s125942.00,5700.85930,N,00959.13766,E,1,08,1.02,53.5,M,42.4,M,,*6A
GGA: %s125943.00,5700.85924,N,00959.13803,E,1,07,1.21,52.9,M,42.4,M,,*61
GGA: %s125944.00,5700.85923,N,00959.13846,E,1,07,1.21,52.3,M,42.4,M,,*6A
GGA: %s125945.00,5700.85919,N,00959.13872,E,1,07,1.21,51.8,M,42.4,M,,*6D
GGA: %s125946.00,5700.85918,N,00959.13927,E,1,07,1.21,51.2,M,42.4,M,,*64
GGA: %s125947.00,5700.85913,N,00959.13949,E,1,07,1.21,50.8,M,42.4,M,,*6D
GGA: %s125948.00,5700.85906,N,00959.13961,E,1,07,1.21,50.4,M,42.4,M,,*60
GGA: %s125949.00,5700.85895,N,00959.13978,E,1,07,1.21,50.0,M,42.4,M,,*66
